merchant_id,merchant_name,city,total_transactions,total_revenue,average_transaction_value,merchant_rank
MERHAMD83GJEHVQ,"Lopez PLC","North Darren",253,1347595.60,5326.46,1
MERB7N67K6OQKSG,"Henry, Henderson and Brown",Contrerasborough,234,1285077.41,5491.78,2
MERRLTYSSJMWY7B,"Riggs LLC",Micheletown,242,1275389.84,5270.21,3
MERY4PULZ21V73N,"Peters, King and Smith","North Johnmouth",245,1275019.78,5204.16,4
MEREADE90DRAXIY,Meyer-King,"South Jeffreyton",226,1268163.15,5611.34,5
MERCDAAMO85X0S6,"Buck Ltd","Port Jessicamouth",238,1265707.65,5318.10,6
MERFEZ9C3WMHD8V,Estrada-Sanchez,Valentineberg,225,1261478.04,5606.57,7
MERBAXB7M1U3TBT,Ward-Martin,Jasonton,231,1243165.02,5381.67,8
MERMVTIQST0QPVL,"Beard, Ho and Hughes","East Jason",228,1242330.97,5448.82,9
MERYDA9QNAUZLRE,"Hill, Horton and Barker",Cookfurt,229,1241672.08,5422.15,10
